IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-09-17T04:35:00,(1.0117844280688857+0j),(-0.5093845480029089+0.8822799177315465j),(-0.5146801351474408-0.891452143721784j)
2022-09-17T04:40:00,(1.0104965794689087+0j),(-0.5102664871648248+0.8838074811691695j),(-0.5129945520937006-0.8885326282323289j)
2022-09-17T04:45:00,(1.0092819088393243+0j),(-0.5114227903401763+0.8858102570178313j),(-0.5130504115003918-0.8886293795627989j)
2022-09-17T04:50:00,(1.0268841514474465+0j),(-0.5188562809983791+0.8986854405154274j),(-0.5211652368301436-0.9026846693284759j)
2022-09-17T04:55:00,(1.025361434141383+0j),(-0.5184037436734981+0.897901622876412j),(-0.5210313176558705-0.9024527145145272j)
2022-09-17T05:00:00,(1.025277403559081+0j),(-0.5159618703704166+0.893672174249829j),(-0.5197684860750265-0.900265426055103j)
2022-09-17T05:05:00,(1.019162452898101+0j),(-0.5166549653410469+0.8948726499534312j),(-0.5187920091024726-0.8985741183262185j)
2022-09-17T05:10:00,(1.0201703787154657+0j),(-0.5148190145531573+0.89169268990861j),(-0.5178150125397761-0.8968819106408081j)
2022-09-17T05:15:00,(1.0186954216703026+0j),(-0.5156818096648755+0.893187094878628j),(-0.5172311552774783-0.8958706401981402j)
2022-09-17T05:20:00,(1.01729610581976+0j),(-0.5168789341533687+0.8952605753156831j),(-0.5181667859610091-0.897491200079136j)
2022-09-17T05:25:00,(1.0191790583421296+0j),(-0.5164534217178403+0.8945235661580957j),(-0.5181999399219223-0.8975486244239096j)
2022-09-17T05:30:00,(1.0198668539765532+0j),(-0.5168971253154835+0.8952920833327148j),(-0.5199532909564921-0.900585517499288j)
2022-09-17T05:35:00,(1.020752619594032+0j),(-0.517234846508707+0.8958770335981707j),(-0.5192636926130128-0.8993910981315665j)
2022-09-17T05:40:00,(1.0179664039399097+0j),(-0.5155967746870735+0.8930398099766546j),(-0.5182968476262895-0.8977164734915185j)
2022-09-17T05:45:00,(1.019704432521966+0j),(-0.5188802288784531+0.898726919460449j),(-0.5193313861735772-0.8995083468178092j)
2022-09-17T05:50:00,(1.0227233951782084+0j),(-0.516640531763828+0.894847650264353j),(-0.5206471942248071-0.9017873932155477j)
2022-09-17T05:55:00,(1.0210023209431336+0j),(-0.5129983566968268+0.8885392179982463j),(-0.519135121721244-0.8991684068146485j)
2022-09-17T06:00:00,(1.0140108238938894+0j),(-0.5147543248894809+0.8915806441243981j),(-0.5166043194953893-0.8947849287755596j)
